chr1,65418,71585,0,1071585,ENSG00000186092.7,OR4F5,+,protein_coding
chr1,450739,451678,0,1451678,ENSG00000284733.2,OR4F29,-,protein_coding
chr1,685715,686654,0,1686654,ENSG00000284662.2,OR4F16,-,protein_coding
chr1,923922,944575,0,1944575,ENSG00000187634.14,SAMD11,+,protein_coding
chr1,943526,960714,0,1960714,ENSG00000188976.12,NOC2L,-,protein_coding
chr1,960575,965719,0,1965719,ENSG00000187961.16,KLHL17,+,protein_coding
chr1,966436,975865,0,1975865,ENSG00000187583.12,PLEKHN1,+,protein_coding
chr1,975193,982134,0,1982134,ENSG00000187642.11,PERM1,-,protein_coding
chr1,998961,1000172,0,2000172,ENSG00000188290.12,HES4,-,protein_coding
chr1,1001137,1014540,1137,2014540,ENSG00000187608.11,ISG15,+,protein_coding
chr1,1020119,1056119,20119,2056119,ENSG00000188157.16,AGRN,+,protein_coding
chr1,1070966,1074306,70966,2074306,ENSG00000237330.3,RNF223,-,protein_coding
chr1,1081810,1116361,81810,2116361,ENSG00000131591.19,C1orf159,-,protein_coding
chr1,1173879,1197940,173879,2197940,ENSG00000162571.15,TTLL10,+,protein_coding
chr1,1203507,1206592,203507,2206592,ENSG00000186891.14,TNFRSF18,-,protein_coding
chr1,1211325,1214153,211325,2214153,ENSG00000186827.12,TNFRSF4,-,protein_coding
chr1,1216886,1238870,216886,2238870,ENSG00000078808.21,SDF4,-,protein_coding
chr1,1232236,1235041,232236,2235041,ENSG00000176022.7,B3GALT6,+,protein_coding
chr1,1242445,1246722,242445,2246722,ENSG00000184163.3,C1QTNF12,-,protein_coding
chr1,1253906,1274477,253906,2274477,ENSG00000160087.22,UBE2J2,-,protein_coding
chr1,1280435,1292029,280435,2292029,ENSG00000162572.21,SCNN1D,+,protein_coding
chr1,1292375,1309609,292375,2309609,ENSG00000131584.20,ACAP3,-,protein_coding
chr1,1308566,1311677,308566,2311677,ENSG00000169972.14,PUSL1,+,protein_coding
chr1,1311584,1324687,311584,2324687,ENSG00000127054.23,INTS11,-,protein_coding
chr1,1324755,1328897,324755,2328897,ENSG00000224051.8,CPTP,+,protein_coding
chr1,1331279,1335314,331279,2335314,ENSG00000169962.5,TAS1R3,+,protein_coding
chr1,1335275,1349945,335275,2349945,ENSG00000107404.22,DVL1,-,protein_coding
chr1,1352688,1361777,352688,2361777,ENSG00000162576.18,MXRA8,-,protein_coding
chr1,1373728,1375521,373728,2375521,ENSG00000175756.15,AURKAIP1,-,protein_coding
chr1,1385710,1399339,385710,2399339,ENSG00000221978.14,CCNL2,-,protein_coding
chr1,1401907,1407306,401907,2407306,ENSG00000242485.7,MRPL20,-,protein_coding
chr1,1415636,1421769,415636,2421769,ENSG00000235098.10,ANKRD65,-,protein_coding
chr1,1425870,1430255,425870,2430255,ENSG00000205116.4,TMEM88B,+,protein_coding
chr1,1434860,1442882,434860,2442882,ENSG00000179403.13,VWA1,+,protein_coding
chr1,1449688,1470163,449688,2470163,ENSG00000215915.10,ATAD3C,+,protein_coding
chr1,1471755,1497848,471755,2497848,ENSG00000160072.21,ATAD3B,+,protein_coding
chr1,1512146,1534686,512146,2534686,ENSG00000197785.15,ATAD3A,+,protein_coding
chr1,1534777,1540624,534777,2540624,ENSG00000205090.10,TMEM240,-,protein_coding
chr1,1541672,1574884,541672,2574884,ENSG00000160075.13,SSU72,-,protein_coding
chr1,1598011,1600135,598011,2600135,ENSG00000228594.4,FNDC10,-,protein_coding
chr1,1615433,1630610,615433,2630610,ENSG00000197530.14,MIB2,+,protein_coding
chr1,1631664,1635263,631664,2635263,ENSG00000189409.15,MMP23B,+,protein_coding
chr1,1635224,1659234,635224,2659234,ENSG00000248333.10,CDK11B,-,protein_coding
chr1,1659528,1693017,659528,2693017,ENSG00000189339.13,SLC35E2B,-,protein_coding
chr1,1702378,1724482,702378,2724482,ENSG00000008128.24,CDK11A,-,protein_coding
chr1,1751231,1780544,751231,2780544,ENSG00000008130.16,NADK,-,protein_coding
chr1,1785284,1892292,785284,2892292,ENSG00000078369.20,GNB1,-,protein_coding
chr1,1915107,1917296,915107,2917296,ENSG00000169885.10,CALML6,+,protein_coding
chr1,1917588,1919329,917588,2919329,ENSG00000178821.14,TMEM52,-,protein_coding
chr1,1921950,2003837,921950,3003837,ENSG00000142609.20,CFAP74,-,protein_coding
chr1,2019328,2030758,1019328,3030758,ENSG00000187730.10,GABRD,+,protein_coding
chr1,2050410,2185395,1050410,3185395,ENSG00000067606.18,PRKCZ,+,protein_coding
chr1,2184460,2212720,1184460,3212720,ENSG00000162585.18,FAAP20,-,protein_coding
chr1,2227387,2310213,1227387,3310213,ENSG00000157933.12,SKI,+,protein_coding
chr1,2319207,2391707,1319207,3391707,ENSG00000116151.15,MORN1,-,protein_coding
chr1,2390669,2405444,1390669,3405444,ENSG00000157916.21,RER1,+,protein_coding
chr1,2403963,2413797,1403963,3413797,ENSG00000157911.12,PEX10,-,protein_coding
chr1,2425979,2505532,1425979,3505532,ENSG00000149527.18,PLCH2,+,protein_coding
chr1,2508533,2526612,1508533,3526612,ENSG00000157881.17,PANK4,-,protein_coding
chr1,2528744,2530263,1528744,3530263,ENSG00000197921.6,HES5,-,protein_coding
chr1,2554243,2565382,1554243,3565382,ENSG00000157873.19,TNFRSF14,+,protein_coding
chr1,2586490,2591470,1586490,3591470,ENSG00000157870.18,PRXL2B,+,protein_coding
chr1,2590638,2633016,1590638,3633016,ENSG00000142606.16,MMEL1,-,protein_coding
chr1,2636985,2801693,1636985,3801693,ENSG00000215912.13,TTC34,-,protein_coding
chr1,3021466,3022903,2021466,4022903,ENSG00000169717.7,ACTRT2,+,protein_coding
chr1,3069167,3438621,2069167,4438621,ENSG00000142611.17,PRDM16,+,protein_coding
chr1,3454549,3481127,2454549,4481127,ENSG00000130762.16,ARHGEF16,+,protein_coding
chr1,3487941,3611543,2487941,4611543,ENSG00000162591.18,MEGF6,-,protein_coding
chr1,3624978,3630131,2624978,4630131,ENSG00000158109.16,TPRG1L,+,protein_coding
chr1,3630766,3652761,2630766,4652761,ENSG00000116213.17,WRAP73,-,protein_coding
chr1,3652515,3736201,2652515,4736201,ENSG00000078900.17,TP73,+,protein_coding
chr1,3746459,3771645,2746459,4771645,ENSG00000162592.10,CCDC27,+,protein_coding
chr1,3772654,3776709,2772654,4776709,ENSG00000235169.12,SMIM1,+,protein_coding
chr1,3778558,3796511,2778558,4796511,ENSG00000130764.11,LRRC47,-,protein_coding
chr1,3812085,3857723,2812085,4857723,ENSG00000116198.15,CEP104,-,protein_coding
chr1,3857266,3885429,2857266,4885429,ENSG00000169598.18,DFFB,+,protein_coding
chr1,3889124,3900293,2889124,4900293,ENSG00000198912.12,C1orf174,-,protein_coding
chr1,4654608,4792534,3654608,5792534,ENSG00000196581.12,AJAP1,+,protein_coding
chr1,5862803,5993455,4862803,6993455,ENSG00000131697.19,NPHP4,-,protein_coding
chr1,5990926,6101193,4990926,7101193,ENSG00000069424.16,KCNAB2,+,protein_coding
chr1,6101786,6180321,5101786,7180321,ENSG00000116254.18,CHD5,-,protein_coding
chr1,6159429,6197757,5159429,7197757,ENSG00000285629.1,ENSG00000285629,-,protein_coding
chr1,6185019,6209389,5185019,7209389,ENSG00000116251.12,RPL22,-,protein_coding
chr1,6205391,6221299,5205391,7221299,ENSG00000158286.14,RNF207,+,protein_coding
